Repository,DateCreated,DateUpdated,Visibility,Release,Tags
ai-experiments,2024-03-09,2025-04-24,Public,None,None
aiops,2024-12-31,2024-12-31,Private,v0.1.0,v0.1.0
air-memory-bank,2025-04-21,2025-04-21,Private,v0.1.0,v0.1.0
airport,2025-01-17,2025-01-25,Private,v0.1.0,v0.1.0
ansible-role-ansible,2023-10-08,2025-02-06,Public,2.2.0,2.2.0
ansible-role-apache,2023-10-05,2025-02-06,Public,2.2.0,2.2.0
ansible-role-bootstrap,2024-01-19,2025-02-06,Public,2.2.0,2.2.0
ansible-role-buildtools,2024-01-25,2025-02-06,Public,2.1.1,2.1.1
ansible-role-certbot,2023-10-08,2025-02-06,Public,2.2.0,2.2.0
ansible-role-clamav,2023-10-08,2025-02-06,Public,2.2.0,2.2.0
ansible-role-composer,2023-10-08,2025-02-06,Public,2.2.0,2.2.0
ansible-role-containerd,2023-10-08,2025-02-06,Public,2.2.0,2.2.0
ansible-role-daemonize,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-docker,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-elasticsearch,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-epel,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-filebeat,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-firewall,2023-10-05,2023-10-05,Public,2.2.0,2.2.0
ansible-role-git,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-github,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-go,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-helm,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-htpasswd,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-iptables,2024-01-23,2024-01-23,Public,2.2.0,2.2.0
ansible-role-java,2023-10-08,2024-01-16,Public,2.2.0,2.2.0
ansible-role-jenkins,2023-10-08,2024-01-17,Public,2.2.0,2.2.0
ansible-role-kibana,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-logstash,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-model,2024-01-22,2024-09-27,Public,2.2.0,2.2.0
ansible-role-mysql,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-nfs,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-nginx,2023-10-09,2023-10-09,Public,2.2.0,2.2.0
ansible-role-nodejs,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-ntp,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-ntpsec,2024-01-18,2024-01-18,Public,2.2.0,2.2.0
ansible-role-packer,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-passenger,2023-10-08,2025-01-25,Public,2.2.0,2.2.0
ansible-role-php,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-phps,2023-10-10,2023-10-10,Public,2.2.0,2.2.0
ansible-role-pip,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-postgresql,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-puppet,2024-01-10,2024-01-10,Public,2.2.0,2.2.0
ansible-role-rabbitmq,2023-10-08,2024-07-25,Public,2.2.0,2.2.0
ansible-role-redis,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-remi,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-ruby,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-samba,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-security,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-solr,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-supervisor,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
ansible-role-swap,2023-10-08,2023-10-09,Public,2.2.0,2.2.0
aria,2025-04-03,2025-04-24,Private,None,None
aria-agent-orchestrator-ui,2025-04-04,2025-04-15,Private,v0.1.0,v0.1.0
auto-claude,2025-04-23,2025-04-23,Private,v0.1.0,v0.1.0
automation-generator,2024-10-06,2024-10-07,Public,v0.0.2,v0.0.2
chainlit-claude,2024-08-22,2024-08-25,Public,v0.1.0,v0.1.0
codemapper,2024-09-22,2025-04-13,Public,v4.4.0,v4.4.0
cops,2025-01-14,2025-02-28,Public,v2.1.0,v2.1.0
cursor-prompts,2024-12-30,2024-12-30,Private,v0.1.0,v0.1.0
docker-amazonlinux2023-ansible,2023-10-05,2023-10-06,Public,v0.1.0,v0.1.0
