tag,re_tag,short_desc,short_desc_spa,long_desc
(BS),\(BS\),Satellview,Satellview,Broadcast Satellite (Satellaview) ROM
(ST),\(ST\),Sufami Turbo,Sufami Turbo,Sufami Turbo ROM
(NP),\(NP\),Nintendo Power,Nintendo Power,Nintendo Power ROM
(NSS),\(NSS\),Arcade SNES,Arcade SNES,Arcade SNES ROM 
