Repository,DateCreated,DateUpdated,Visibility,Release,Tags
ansible-role-model,2024-10-24,2024-10-24,Private,v0.1.0,v0.1.0
cello-knowledge-refactor,2025-02-19,2025-02-19,Private,v0.1.0,v0.1.0
claude-project_alpha-rapid-app-prototyper,2024-11-05,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_ansible-coder,2024-11-05,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_anthropic-prompt-engineer,2024-11-26,2024-11-28,Private,v0.1.0,v0.1.0
claude-project_cello-staff-directory,2024-11-04,2025-02-19,Private,v0.1.0,v0.1.0
claude-project_cello-staff-guidelines-and-policies,2024-11-04,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_pdf-to-markdown-exclude-images,2024-11-04,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_powershell-coder,2024-11-05,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_project-prompt-engineer,2024-11-05,2024-12-09,Private,v0.1.0,v0.1.0
claude-project_rapid-app-prototyper,2024-11-05,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_semgrep-coder,2024-11-05,2024-11-05,Private,v0.1.0,v0.1.0
claude-project_template,2024-10-30,2024-11-27,Private,v0.1.0,v0.1.0
claude-projects-listing,2024-11-04,2024-11-05,Private,v0.1.0,v0.1.0
mkdocs-template-enterprise,2024-11-17,2025-03-17,Public,v0.1.0,v0.1.0
nornirscripts-core,2021-03-01,2024-09-09,Private,v0.1.0,v0.1.0
radiator-maintenance,2024-09-03,2024-09-03,Private,v0.1.0,v0.1.0
rancid-auto,2024-08-22,2024-08-22,Private,v0.1.0,v0.1.0
rfp-assistant-project,2025-02-09,2025-04-20,Private,v0.1.0,v0.1.0
